name,normalizedName,tager,legacyDefaultTag,runtimeDefaultTag,bundleIdentifier,defaultNote-ZH
,libreoffice-still,office,productivity,productivity|writing,null,办公文档工具，适合阅读、编辑或管理文档资料
,font-fira-mono-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,prince,writing,development|writing|utilities,writing,null,办公文档工具，适合阅读、编辑或管理文档资料
,font-monaspice-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,nrfutil,terminal-tools|runtime-sdk,utilities,development,null,开发者工具，适合命令行、构建、调试或工程管理
,oracle-jdk,runtime-sdk,utilities,development,null,Java JDK/运行时组件，适合开发或运行 Java 应用
,wpsoffice-cn,office,productivity,productivity|writing,null,效率工具，适合文档、记录或日常工作流
,font-dejavu,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-d2coding-nerd-font,Font,development|utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-roboto,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,wizcli,terminal-tools,utilities,development,null,开发者工具，适合命令行、构建、调试或工程管理
,parallels,devops,development|utilities,development,null,虚拟化或远程连接工具，适合运行系统环境和访问远程电脑
,font-geist-mono-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,wpsoffice,office,productivity,productivity|writing,null,办公文档工具，适合阅读、编辑或管理文档资料
,font-sf-pro,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,longbridge-tap-longbridge-terminal,terminal-tools,development|utilities|system,development,null,
,font-hackgen-nerd,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,microsoft-openjdk-17,runtime-sdk,utilities,development,null,Java JDK/运行时组件，适合开发或运行 Java 应用
,autodesk-fusion,Font|ui-prototyping|3d-cad,utilities,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,font-noto-sans-cjk-sc,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,xld,audio,utilities,media|audio,null,音频工具，适合播放、制作、编辑或管理声音内容
,malwarebytes,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,font-sf-mono-nerd-font-ligaturized,Font,development|utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-noto-sans-cjk,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-noto-sans,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-ubuntu-mono-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-roboto-mono-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,oracle-jdk-25,runtime-sdk,utilities,development,null,Java JDK/运行时组件，适合开发或运行 Java 应用
,font-geist-mono,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-victor-mono-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,0-ad,game,utilities,entertainment|game,null,游戏，适合休闲娱乐和沉浸式体验
,font-montserrat,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-inconsolata-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-sf-mono,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-dejavu-sans-mono-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-hack,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-source-sans-3,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-roboto-mono,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,floorp,browser|security,browser,browser|security,null,安全工具，适合保护隐私、控制访问或加密数据
,1password-cli-beta,security,utilities|security,security,null,命令行密钥和凭据管理工具测试版
,pluk-inc-tap-markdown-preview,writing,writing|media|picture-photo|utilities|system,writing,null,
,font-code-new-roman-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-eb-garamond,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,notepadexe,ide,writing,development,null,轻量代码编辑器，适合编写和修改代码
,ytmdesktop-youtube-music,video|audio,media|video|audio|entertainment,media|video|audio,null,音频工具，适合播放、制作、编辑或管理声音内容
,qqmusic,audio,media|audio|entertainment,media|audio,null,视频工具，适合播放、录制、剪辑或转换视频
,font-zed-mono-nerd-font,Font,development|utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-3270-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-meslo-for-powerlevel10k,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-agave-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,openai-tools-openai,ai-tools|terminal-tools,utilities,development|ai-tools,null,命令行开发工具，适合调用和管理 AI 服务
,font-pretendard,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-mononoki-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-noto-sans-cjk-kr,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,edouard-claude-tap-snip,ai-tools,productivity|ai-tools,ai-tools,null,Claude 相关工具，适合 AI 辅助开发或内容处理
,microsoft-openjdk-25,runtime-sdk,utilities,development,null,Java JDK/运行时组件，适合开发或运行 Java 应用
,font-lxgw-wenkai,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,ublue-os-tap-antigravity-linux,ai-tools,development|ai-tools,ai-tools,null,
,azure-azure-cli-azure-cli-preview,Automation|terminal-tools|devops,media|picture-photo|utilities|system,productivity|development|system-enhancement,null,云资源命令行管理和自动化部署工具预览版
,font-commit-mono-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-open-sans,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,google-cloud-sdk,terminal-tools|devops|runtime-sdk,utilities,development,null,Google Cloud 命令行工具集，适合管理云资源和部署应用
,gureumkim,input-tools,utilities,utilities|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,font-ibm-plex-sans,Font,media|video|utilities|entertainment,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,1password-tap-1password-cli,security,utilities|security,security,null,
,font-terminess-ttf-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-space-mono-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-hackgen,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-noto-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-lilex-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-anonymice-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-source-serif-4,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-noto-sans-cjk-jp,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-lato,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-gohufont-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,fontforge-app,Font|ui-prototyping|3d-cad,utilities,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,font-adwaita-mono-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-cousine-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,microsoft-openjdk-21,runtime-sdk,utilities,development,null,Java JDK/运行时组件，适合开发或运行 Java 应用
,mhaeuser-mhaeuser-battery-toolkit,device-management|system-maintenance,utilities,utilities|system-enhancement,null,电池或硬件状态工具，适合查看设备状态并辅助维护
,app-cleaner,file-management,utilities,file-management|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,font-fontawesome,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-hasklug-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-bigblue-terminal-nerd-font,Font,development|utilities|system,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,oracle-jdk-21,runtime-sdk,utilities,development,null,Java JDK/运行时组件，适合开发或运行 Java 应用
,font-fantasque-sans-mono-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-noto-color-emoji,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,shortcat,device-management,utilities,utilities|system-enhancement,null,设计工具，适合图形、界面、字体或建模相关工作
,font-inconsolata,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-powerline-symbols,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-opendyslexic-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-hurmit-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,godot-mono,diagramming,development|entertainment|game,design,null,带 C# 支持的 Godot 版本，适合用 .NET 开发游戏
,font-bitstream-vera-sans-mono-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,font-monofur-nerd-font,Font,utilities,design|utilities,null,字体资源包，适合为编辑器、终端或设计工作补充字体
,android-sdk-platform-tools,device-management|runtime-sdk,development|utilities,development|utilities|system-enhancement,null,Android 开发工具，适合 adb 调试和设备管理
,flutter-sdk,runtime-sdk,utilities,development,null,跨平台应用开发工具包，适合构建移动、桌面和 Web 应用
,android-sdk-command-line-tools,terminal-tools|runtime-sdk,development|utilities,development,null,Android 命令行开发工具，适合构建和调试应用
,eclipse-temurin-21,terminal-tools|ide|runtime-sdk,utilities,development,null,Java JDK/运行时组件，适合开发或运行 Java 应用
,brave,browser|security,browser|utilities|security,browser|security,null,网页调试和浏览工具，适合开发者检查页面细节
,eclipse-temurin-8,terminal-tools|ide|runtime-sdk,utilities,development,null,Java JDK/运行时组件，适合开发或运行 Java 应用
,telegram-for-macos,communication|security,communication|utilities|security,communication|security,null,
,freemacsoft-appcleaner,system-maintenance|ide,development|utilities,development|utilities|system-enhancement,null,应用卸载工具
,etcher,picture-photo,media|picture-photo|utilities,media|picture-photo,null,系统镜像写盘工具，制作启动 U 盘直观可靠
,microsoft-build-of-openjdk,runtime-sdk,utilities,development,null,Java JDK/运行时组件，适合开发或运行 Java 应用
,emacs,ide,development|writing,development,null,文本编辑器，适合编辑纯文本、配置和轻量写作
,eclipse-temurin-11,terminal-tools|ide|runtime-sdk,utilities,development,null,Java JDK/运行时组件，适合开发或运行 Java 应用
,eclipse-temurin-25,terminal-tools|ide|runtime-sdk,utilities,development,null,Java JDK/运行时组件，适合开发或运行 Java 应用
,aws-corretto-jdk,devops|runtime-sdk,utilities,development,null,Java JDK/运行时组件，适合开发或运行 Java 应用
,mozilla-firefox-developer-edition,browser,browser|development,browser,null,面向开发者的 Firefox，网页调试功能更前沿
,burp-suite-community-edition,security,utilities|security,security,null,Web 安全测试工具包
,prism-launcher,game,productivity|writing|entertainment|game,entertainment|game,null,Minecraft 启动器，管理模组和多个游戏实例很方便
,zed-attack-proxy,api-tools,development|utilities,development,null,
,wch-usb-serial-driver-for-ch340-ch341-ch342-ch343-ch344-ch9101-ch9102-ch9103-ch9143,device-management,utilities,utilities|system-enhancement,null,
,amazon-corretto-jdk,runtime-sdk,utilities,development,null,Java JDK/运行时组件，适合开发或运行 Java 应用
,macvim,ide,development|writing,development,null,文本编辑器，适合编辑纯文本、配置和轻量写作
,teleport-tsh,communication,communication|productivity,communication,null,Teleport 命令行入口，适合安全登录服务器和集群
,malwarebytes-for-mac,security,utilities|security,security,null,
,floorp-browser,browser,browser|utilities|security,browser,null,网页浏览器，适合日常上网和访问 Web 服务
,youtube-music-desktop-app,audio,media|audio|entertainment,media|audio,null,YouTube Music 桌面封装，听歌时不用一直开浏览器
,opensc,file-management,utilities,file-management|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,sproutcube-shortcat,Automation|device-management,utilities|system-enhancement,productivity|utilities|system-enhancement,null,无需鼠标的界面操作工具
,heroic-games-launcher,game,productivity|entertainment|game,entertainment|game,null,GOG、Epic 等游戏库的开源启动器，跨平台管理更轻
,nektony-app-cleaner-and-uninstaller,file-management|system-maintenance,utilities,file-management|utilities|system-enhancement,null,应用卸载和清理助手
,freetube,security|entertainment,utilities|entertainment|security,entertainment|security,null,安全工具，适合保护隐私、控制访问或加密数据
,eclipse-memory-analyzer,system-maintenance,utilities,utilities|system-enhancement,null,Java 堆内存分析工具
,adobe-acrobat-pro-dc,writing,design|writing,writing,null,
,gpg-suite-without-gpg-mail,communication|security,communication|utilities|security,communication|security,null,
,bleunlock,device-management,utilities,utilities|system-enhancement,null,通过蓝牙低功耗设备距离锁定或解锁 Mac 的工具
,segger-j-link-command-line-tools,writing|terminal-tools,writing,development|writing,null,
,qutebrowser,browser,browser|development|utilities|system-enhancement,browser,null,键盘驱动的浏览器，适合喜欢 Vim 操作的人
,jumpcut,Automation,productivity|utilities|system-enhancement,productivity|system-enhancement,null,剪贴板管理器，适合保存和找回复制历史
,netron,ai-tools,education,ai-tools,null,学习工具，适合查词、学习、参考或教育场景
,notepad-exe,ide,development|writing,development,null,轻量级代码编辑器
,wifiman-desktop,network-tools,utilities|system-enhancement,utilities,null,
,disk-inventory-x,file-management|system-maintenance,utilities,file-management|utilities|system-enhancement,null,磁盘空间分析工具，适合查看和清理空间占用
,ollamac,ai-tools,development|ai-tools,ai-tools,null,Ollama 的 Mac 客户端，管理本地模型和聊天更直观
,neohtop,system-maintenance,utilities,utilities|system-enhancement,null,高级系统监控工具
,dash,writing|api-tools,browser|writing,development|writing,null,API 调试工具，适合测试接口、请求和开发流程
,topnotch,window-management|system-maintenance|ide,utilities|system-enhancement,development|utilities|system-enhancement,null,编程开发工具，适合编写、阅读和维护代码
,moom,communication|window-management,communication|productivity|utilities|system-enhancement,communication|utilities|system-enhancement,null,窗口管理工具，快速排列和保存窗口布局
,mountain-duck,transfer,file-management|transfer|utilities,transfer|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,tower,devops,productivity|development,development,null,开发相关工具，适合编程、调试或管理开发环境
,folo,writing,browser,writing,null,效率工具，适合文档、记录或日常工作流
,iterm2-browser-plugin,browser,browser|development,browser,null,网页调试和浏览工具，适合开发者检查页面细节
,ente-auth,security,utilities,security,null,双因素验证码桌面客户端
,ukelele,input-tools,design|utilities|system-enhancement,utilities|system-enhancement,null,键盘布局编辑器，适合自定义输入法和键位
,vimr,ide,development|writing,development,null,编程开发工具，适合编写、阅读和维护代码
,keystore-explorer,terminal-tools,utilities,development,null,开发者工具，适合命令行、构建、调试或工程管理
,plexamp,audio,media|audio|entertainment,media|audio,null,Plex 音乐播放器，适合管理和播放自己的音乐库
,chrome-remote-desktop,network-tools,browser|utilities,utilities,null,通过 Chrome 远程访问其他电脑的工具
,logisim-evolution,Font|ui-prototyping|3d-cad|diagramming,development|design,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,logitune,communication|device-management,communication|productivity|development|media|video|utilities|system-enhancement,communication|utilities|system-enhancement,null,管理罗技摄像头和耳机，开会前调设备很方便
,klogg,system-maintenance,utilities,utilities|system-enhancement,null,快速高级日志查看工具
,klayout,Font|ui-prototyping|3d-cad,design,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,microsoft-office-businesspro,office,productivity,productivity|writing,null,办公套件，适合处理文档、表格和演示稿
,notion-mail,communication|Notes,productivity|writing,communication|productivity|writing,null,Notion 风格邮件工具，适合把邮件变成可整理的信息流
,gitify,devops,development|utilities|system-enhancement,development,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,clop,video|picture-photo,productivity|media|video|picture-photo|utilities|system-enhancement,media|video|picture-photo,null,自动压缩图片、视频和 PDF，拖进去就能瘦身文件
,weasis,picture-photo,media|picture-photo|utilities|system-enhancement,media|picture-photo,null,医学影像 DICOM 查看器，适合浏览和分析医疗影像
,asset-catalog-tinkerer,picture-photo,media|picture-photo|utilities,media|picture-photo,null,查看和导出 Xcode 资源目录，处理 App 素材很方便
,keybase,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,digikam,picture-photo,development|media|picture-photo,media|picture-photo,null,图片工具，适合浏览、编辑、转换或管理图片
,affinity-photo-2,picture-photo,design|media|picture-photo,media|picture-photo,null,专业修图工具，适合照片编辑、合成和精细调色
,maczip,file-management,utilities,file-management|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,soulseek,transfer,utilities,transfer|utilities,null,文件分享网络客户端
,keka-external-helper,file-management,utilities,file-management|utilities,null,Keka 压缩工具辅助应用
,timemachineeditor,transfer,transfer|utilities|system,transfer|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,teleport-connect,ide,browser|development,development,null,网页调试和浏览工具，适合开发者检查页面细节
,youtube-music,audio,media|audio|entertainment,media|audio,null,YouTube 音乐客户端，适合听歌、歌单和音乐视频
,macpass,security,utilities|security,security,null,账号安全工具，适合管理密码、验证码和通行密钥
,apache-openoffice,office,productivity,productivity|writing,null,
,steermouse,device-management,development|utilities|system-enhancement,utilities|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,msty,ai-tools,utilities|ai-tools,ai-tools,null,多模型 AI 客户端，适合统一管理本地和云端模型
,batfi,system-maintenance,utilities,utilities|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,nodebox,Font|ui-prototyping|3d-cad|diagramming,design,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,playonmac,Font|ui-prototyping|3d-cad,design,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,glance,picture-photo,media|picture-photo|utilities,media|picture-photo,null,Quick Look 扩展，让代码、图片和文档预览更好用
,wifi-explorer,network-tools,utilities|system-enhancement,utilities,null,Wi-Fi 扫描、监控和排障工具
,cinebench,device-management|system-maintenance,utilities,utilities|system-enhancement,null,硬件基准测试工具
,veracrypt-fuse-t,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,datadog-agent,security,utilities|system-enhancement|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,easyfind,file-management,utilities,file-management|utilities,null,文件、文件夹和全文搜索工具
,fuse-studio,file-management,utilities,file-management|utilities,null,FUSE 文件系统组件，适合让 macOS 挂载和访问扩展文件系统
,qflipper,device-management,utilities,utilities|system-enhancement,null,Flipper Zero 配套应用
,windterm,transfer|terminal-tools,file-management|transfer|development|utilities,transfer|development|utilities,null,开发者工具，适合命令行、构建、调试或工程管理
,camunda-modeler,Automation,productivity|utilities|system-enhancement,productivity|system-enhancement,null,效率增强工具，适合快速启动、自动化或管理常用操作
,awa,audio,media|audio|entertainment,media|audio,null,日本流媒体音乐服务，适合听歌和发现日系音乐
,pdfsam-basic,PDF,development|writing|utilities,writing|utilities,null,办公文档工具，适合阅读、编辑或管理文档资料
,teleport,communication,communication|productivity,communication,null,沟通工具，适合消息、邮件、通话或团队交流
,vysor,network-tools|device-management,utilities,utilities|system-enhancement,null,手机投屏和控制工具
,freeplane,Notes,productivity,productivity|writing,null,效率工具，适合文档、记录或日常工作流
,uninstallpkg,system-maintenance,utilities,utilities|system-enhancement,null,PKG 软件包卸载工具
,clipgrab,video|transfer,transfer|media|video|audio|utilities,transfer|media|video|utilities,null,在线视频下载工具，适合保存公开视频素材
,keeper-password-manager,security,development|utilities|security,security,null,账号安全工具，适合管理密码、验证码和通行密钥
,opcode,ai-tools,development|ai-tools,ai-tools,null,设计工具，适合图形、界面、字体或建模相关工作
,macsyzones,window-management,utilities,utilities|system-enhancement,null,窗口管理工具
,adobe-digital-editions,devops,development|design,development,null,办公文档工具，适合阅读、编辑或管理文档资料
,brave-nightly,browser|security,browser|utilities|security,browser|security,null,网页浏览器，适合日常上网和访问 Web 服务
,brave-beta,browser|security,browser|utilities|security,browser|security,null,网页浏览器，适合日常上网和访问 Web 服务
,openchamber,ai-tools,development|ai-tools,ai-tools,null,开发相关工具，适合编程、调试或管理开发环境
,androidtool,device-management,utilities,utilities|system-enhancement,null,iOS 和 Android 设备录屏与应用安装工具
,notesnook,security|writing,writing|utilities|security,writing|security,null,适合写作、记录和处理文档
,yandex-cloud-cli,terminal-tools|devops,utilities,development,null,开发者工具，适合命令行、构建、调试或工程管理
,opera-gx,browser|entertainment,browser|entertainment|game,browser|entertainment,null,网页浏览器，适合日常上网和访问 Web 服务
,vibetunnel,terminal-tools,browser|development,development,null,把本地开发服务安全暴露出去，方便远程预览和调试
,lastpass,security,utilities|security,security,null,密码管理器，适合保存账号、密码和敏感信息
,luanti,game,media|audio|entertainment|game,entertainment|game,null,开源方块沙盒游戏平台，适合玩和制作类 Minecraft 世界
,electrum,security|finance,utilities|finance|security,finance|security,null,轻量比特币钱包，适合管理和签署 BTC 交易
,paste,Automation,productivity|utilities|system-enhancement,productivity|system-enhancement,null,效率增强工具，适合快速启动、自动化或管理常用操作
,box-drive,transfer,file-management|transfer|utilities,transfer|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,projectlibre,GTD,browser,productivity,null,效率工具，适合文档、记录或日常工作流
,wacom-tablet,device-management,utilities,utilities|system-enhancement,null,
,devcleaner,ide,development|utilities,development,null,开发相关工具，适合编程、调试或管理开发环境
,cavalry,Font|ui-prototyping|3d-cad|diagramming,design,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,nrf-command-line-tools,terminal-tools,utilities,development,null,
,caido,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,standard-notes,security|writing,writing|utilities|security,writing|security,null,端到端加密笔记工具，适合保存私密文字和资料
,mediahuman-youtube-to-mp3-converter,audio|transfer,transfer|media|audio|utilities|entertainment,transfer|media|audio|utilities,null,把在线视频转成 MP3，适合保存音乐和播客音频
,modrinth-app,game,writing|entertainment|game,entertainment|game,null,游戏，适合休闲娱乐和沉浸式体验
,bluetility,device-management,browser,utilities|system-enhancement,null,蓝牙低功耗设备浏览工具
,stash,security,utilities|security,security,null,安全相关工具，适合隐私保护、访问控制或账号防护
,ace-link,video,media|video|utilities|system-enhancement,media|video,null,视频工具，适合播放、录制、剪辑或转换视频
,vanilla,window-management|system-maintenance|ide,utilities|system-enhancement,development|utilities|system-enhancement,null,编程开发工具，适合编写、阅读和维护代码
,strawberry,audio,browser|media|picture-photo|ai-tools,media|audio,null,网页浏览器，适合日常上网和访问 Web 服务
,utools,Automation,productivity,productivity|system-enhancement,null,高效的工作助手，结合了人工智能技术，为用户提供一个多功能的入口
,spacedrive,file-management,utilities,file-management|utilities,null,开源跨平台文件管理器
,pdf-squeezer,PDF,utilities,writing|utilities,null,办公文档工具，适合阅读、编辑或管理文档资料
,qobuz,audio,transfer|media|audio|utilities|entertainment,media|audio,null,高解析音乐服务，适合认真听歌和管理高音质曲库
,rustcast,Automation,productivity|utilities,productivity|system-enhancement,null,效率工具，适合文档、记录或日常工作流
,kubecontext,Automation|devops,development|utilities|system-enhancement,productivity|development|system-enhancement,null,容器和集群管理工具，适合本地开发、镜像和 Kubernetes 工作流
,swiftdialog,communication|terminal-tools|runtime-sdk,communication|development|utilities,communication|development,null,开发者工具，适合命令行、构建、调试或工程管理
,spotmenu,audio|system-maintenance,media|audio|utilities|system-enhancement|entertainment,media|audio|utilities|system-enhancement,null,菜单栏 Spotify 控制器，当前播放和切歌都更顺手
,textsniper,writing|picture-photo,development|writing|media|picture-photo|utilities,writing|media|picture-photo,null,截图识别文字工具，屏幕上的文字可以一键复制
,megacmd,terminal-tools,utilities,development,null,开发者工具，适合命令行、构建、调试或工程管理
,burp-suite-professional,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,prolific-usb-to-serial-cable-driver,device-management,utilities,utilities|system-enhancement,null,
,webviewscreensaver,writing,writing|utilities|system-enhancement,writing,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,ea-app,game,productivity|entertainment|game,entertainment|game,null,游戏，适合休闲娱乐和沉浸式体验
,rwts-pdfwriter,PDF|Notes,writing|utilities,productivity|writing|utilities,null,写作和笔记工具，适合记录、编辑和整理文本内容
,open-video-downloader,video|transfer,transfer|media|video|utilities|entertainment,transfer|media|video|utilities,null,开源视频下载器，适合保存公开视频素材
,macpacker,file-management,utilities,file-management|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,keepassx,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,notchi,ai-tools|window-management|system-maintenance,development|utilities|system-enhancement|ai-tools,utilities|system-enhancement|ai-tools,null,刘海区域美化工具，让菜单栏视觉更有趣
,vuescan,device-management,utilities,utilities|system-enhancement,null,扫描仪驱动和扫描软件，常用于支持旧款扫描仪
,finalshell,terminal-tools|devops,development|utilities,development,null,虚拟化或远程连接工具，适合运行系统环境和访问远程电脑
,processing,education,design|education,education,null,学习工具，适合查词、学习、参考或教育场景
,music-presence,video|audio,communication|media|video|audio,media|video|audio,null,把正在播放的音乐同步到状态，适合展示听歌动态
,synology-assistant,device-management,utilities,utilities|system-enhancement,null,局域网 Synology NAS 管理工具
,devonthink,PDF|Notes,writing,productivity|writing|utilities,null,个人知识资料库，适合收纳 PDF、网页和研究材料
,elgato-wave-link,device-management,utilities,utilities|system-enhancement,null,面向内容创作的音频控制软件
,katrain,game,entertainment|game|ai-tools,entertainment|game,null,游戏，适合休闲娱乐和沉浸式体验
,xca,security,utilities,security,null,安全工具，适合保护隐私、控制访问或加密数据
,graphql-playground,api-tools,productivity|development,development,null,编程开发工具，适合编写、阅读和维护代码
,insta360-link-controller,device-management,utilities,utilities|system-enhancement,null,视频工具，适合播放、录制、剪辑或转换视频
,safari-technology-preview,browser,browser|media|picture-photo,browser,null,网页浏览器，适合日常上网、访问网页和使用 Web 服务
,nordpass,security,utilities|security,security,null,密码管理器，适合保存账号、密码和敏感信息
,zoom-for-it-admins,Meeting,communication|productivity|media|video,communication|productivity,null,给 IT 管理员部署 Zoom，批量配置会议客户端更方便
,ftdi-vcp-driver,device-management,utilities,utilities|system-enhancement,null,
,connectmenow,file-management,utilities,file-management|utilities,null,快速挂载网络共享的工具
,enpass,security,utilities|security,security,null,安全相关工具，适合隐私保护、访问控制或账号防护
,heynote,writing,development|writing,writing,null,开发相关工具，适合编程、调试或管理开发环境
,transnomino,file-management,utilities,file-management|utilities,null,批量重命名工具
,bose-device-updater,device-management,utilities,utilities|system-enhancement,null,Bose 产品固件更新工具
,doxygen,ide|runtime-sdk,development|writing,development,null,编程开发工具，适合编写、阅读和维护代码
,elgato-control-center,device-management,utilities,utilities|system-enhancement,null,Elgato 灯光控制工具
,sunlogin-client,network-tools,utilities|system-enhancement,utilities,null,远程桌面控制和监控工具
,desktoppr,picture-photo|terminal-tools,media|picture-photo,development|media|picture-photo,null,开发者工具，适合命令行、构建、调试或工程管理
