rank,name,defaultTagIDs,defaultTagNamesEN,bundleIdentifier,normalizedName,oldCategoryCandidates,sourceEvidence,mergedCandidateRanks,tagReviewStatus,tagConfidence,regionHints,notes
139,Xdevplatform/tap/xurl,development,Development,,xdevplatform-tap-xurl,development,homebrew_cask_30d:34,139,top300_needs_human_review,0.78,,"homebrew_count=11,995;percent=0.51;cask=xdevplatform/tap/xurl"
140,Temurin@21,development,Development,,temurin-21,other,homebrew_cask_30d:32,140,top300_needs_human_review,0.78,,"homebrew_count=12,257;percent=0.52;cask=temurin@21"
141,Epic Games Launcher,game|entertainment,Games|Entertainment,com.epicgames.EpicGamesLauncher,epic-games-launcher,entertainment,global_manual_seed:42|icon_pack_signal_seed:42,141,top300_needs_human_review,0.78,,global high-frequency seed; bundle id should be verified before final catalog
142,Android Studio,development,Development,,android-studio,development,homebrew_cask_30d:35,142,top300_needs_human_review,0.78,,"homebrew_count=11,972;percent=0.51;cask=android-studio"
143,ChatGPT,ai-tools|productivity,AI Tools|Productivity,com.openai.chat,chatgpt,ai-tools,global_manual_seed:43|icon_pack_signal_seed:43|homebrew_cask_30d:65,143|169,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=6,478;percent=0.27;cask=chatgpt"
144,Rectangle,utilities|system-enhancement,Utilities|System Enhancements,,rectangle,productivity,homebrew_cask_30d:37,144,top300_needs_human_review,0.78,,"homebrew_count=11,392;percent=0.48;cask=rectangle"
145,Perplexity,ai-tools|productivity,AI Tools|Productivity,ai.perplexity.mac,perplexity,ai-tools,global_manual_seed:45|icon_pack_signal_seed:45,145,top300_needs_human_review,0.78,,global high-frequency seed; bundle id should be verified before final catalog
147,Macfuse,utilities,Utilities,,macfuse,other,homebrew_cask_30d:36,147,top300_needs_human_review,0.78,,"homebrew_count=11,874;percent=0.50;cask=macfuse"
148,LM Studio,ai-tools|development,AI Tools|Development,ai.lmstudio.app,lm-studio,ai-tools,global_manual_seed:46|icon_pack_signal_seed:46|homebrew_cask_30d:66,148|171,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=6,386;percent=0.27;cask=lm-studio"
149,Dbeaver Community,development,Development,,dbeaver-community,development,homebrew_cask_30d:39,149,top300_needs_human_review,0.78,,"homebrew_count=10,967;percent=0.46;cask=dbeaver-community"
150,Ollama,ai-tools|development,AI Tools|Development,com.electron.ollama,ollama,ai-tools,global_manual_seed:47|icon_pack_signal_seed:47,150,top300_needs_human_review,0.78,,global high-frequency seed; bundle id should be verified before final catalog
151,Dotnet SDK,development,Development,,dotnet-sdk,other,homebrew_cask_30d:40,151,top300_needs_human_review,0.78,,"homebrew_count=10,721;percent=0.45;cask=dotnet-sdk"
152,Ngrok/ngrok/ngrok,development,Development,,ngrok-ngrok-ngrok,other,homebrew_cask_30d:41,152,top300_needs_human_review,0.78,,"homebrew_count=10,700;percent=0.45;cask=ngrok/ngrok/ngrok"
153,Opencode Desktop,ai-tools|development,AI Tools|Development,,opencode-desktop,other,homebrew_cask_30d:42,153,top300_needs_human_review,0.78,,"homebrew_count=10,478;percent=0.44;cask=opencode-desktop"
154,Maccy,utilities|system-enhancement,Utilities|System Enhancements,,maccy,utilities,homebrew_cask_30d:45,154,top300_needs_human_review,0.78,,"homebrew_count=9,986;percent=0.42;cask=maccy"
155,Blackhole 2ch,audio|media|utilities,Audio|Media|Utilities,,blackhole-2ch,other,homebrew_cask_30d:43,155,top300_needs_human_review,0.78,,"homebrew_count=10,362;percent=0.44;cask=blackhole-2ch"
156,Codex App,ai-tools|development,AI Tools|Development,,codex-app,ai-tools,homebrew_cask_30d:47,156,top300_needs_human_review,0.78,,"homebrew_count=9,449;percent=0.40;cask=codex-app"
157,Ollama App,ai-tools|development,AI Tools|Development,,ollama-app,ai-tools,homebrew_cask_30d:48,157,top300_needs_human_review,0.78,,"homebrew_count=9,317;percent=0.39;cask=ollama-app"
158,Session Manager Plugin,development,Development,,session-manager-plugin,other,homebrew_cask_30d:46,158,top300_needs_human_review,0.78,,"homebrew_count=9,850;percent=0.42;cask=session-manager-plugin"
159,Temurin,development,Development,,temurin,other,homebrew_cask_30d:49,159,top300_needs_human_review,0.78,,"homebrew_count=9,157;percent=0.39;cask=temurin"
160,Wine Stable,utilities,Utilities,,wine-stable,other,homebrew_cask_30d:50,160,top300_needs_human_review,0.78,,"homebrew_count=8,926;percent=0.38;cask=wine-stable"
161,Betterdisplay,utilities|system-enhancement,Utilities|System Enhancements,,betterdisplay,other,homebrew_cask_30d:51,161,top300_needs_human_review,0.78,,"homebrew_count=8,865;percent=0.37;cask=betterdisplay"
162,Mitmproxy,security|utilities,Security|Utilities,,mitmproxy,other,homebrew_cask_30d:52,162,top300_needs_human_review,0.78,,"homebrew_count=8,751;percent=0.37;cask=mitmproxy"
163,Font Meslo Lg Nerd Font,utilities,Utilities,,font-meslo-lg-nerd-font,other,homebrew_cask_30d:54,163,top300_needs_human_review,0.78,,"homebrew_count=8,673;percent=0.37;cask=font-meslo-lg-nerd-font"
164,Steipete/tap/codexbar,ai-tools|development,AI Tools|Development,,steipete-tap-codexbar,other,homebrew_cask_30d:56,164,top300_needs_human_review,0.78,,"homebrew_count=8,470;percent=0.36;cask=steipete/tap/codexbar"
165,Gstreamer Runtime,development,Development,,gstreamer-runtime,other,homebrew_cask_30d:57,165,top300_needs_human_review,0.78,,"homebrew_count=8,316;percent=0.35;cask=gstreamer-runtime"
166,Basictex,development,Development,,basictex,other,homebrew_cask_30d:58,166,top300_needs_human_review,0.78,,"homebrew_count=8,138;percent=0.34;cask=basictex"
168,Cmux,development,Development,,cmux,other,homebrew_cask_30d:61,168,top300_needs_human_review,0.78,,"homebrew_count=7,307;percent=0.31;cask=cmux"
170,Zulu@17,development,Development,,zulu-17,other,homebrew_cask_30d:63,170,top300_needs_human_review,0.78,,"homebrew_count=6,739;percent=0.29;cask=zulu@17"
172,Xquartz,development|utilities,Development|Utilities,,xquartz,other,homebrew_cask_30d:64,172,top300_needs_human_review,0.78,,"homebrew_count=6,708;percent=0.28;cask=xquartz"
173,Miniconda,development,Development,,miniconda,other,homebrew_cask_30d:67,173,top300_needs_human_review,0.78,,"homebrew_count=6,257;percent=0.26;cask=miniconda"
174,Warrensbox/tap/tfswitch,development,Development,,warrensbox-tap-tfswitch,other,homebrew_cask_30d:68,174,top300_needs_human_review,0.78,,"homebrew_count=6,145;percent=0.26;cask=warrensbox/tap/tfswitch"
175,Jordanbaird Ice,utilities|system-enhancement,Utilities|System Enhancements,,jordanbaird-ice,other,homebrew_cask_30d:69,175,top300_needs_human_review,0.78,,"homebrew_count=6,076;percent=0.26;cask=jordanbaird-ice"
176,Sublime Text,development,Development,,sublime-text,development,homebrew_cask_30d:72,176,top300_needs_human_review,0.78,,"homebrew_count=5,818;percent=0.25;cask=sublime-text"
177,Localsend,transfer|utilities,Uploads & Downloads|Utilities,,localsend,other,homebrew_cask_30d:70,177,top300_needs_human_review,0.78,,"homebrew_count=5,860;percent=0.25;cask=localsend"
178,Sikarugir App/sikarugir/sikarugir,other,Other,,sikarugir-app-sikarugir-sikarugir,other,homebrew_cask_30d:71,178,needs_classification,0.30,,"homebrew_count=5,833;percent=0.25;cask=sikarugir-app/sikarugir/sikarugir"
180,Alt Tab,utilities|system-enhancement,Utilities|System Enhancements,,alt-tab,utilities,homebrew_cask_30d:76,180,top300_needs_human_review,0.78,,"homebrew_count=5,664;percent=0.24;cask=alt-tab"
181,Karabiner Elements,utilities|system-enhancement,Utilities|System Enhancements,,karabiner-elements,utilities,homebrew_cask_30d:78,181,top300_needs_human_review,0.78,,"homebrew_count=5,557;percent=0.24;cask=karabiner-elements"
182,Hammerspoon,development|system-enhancement|utilities,Development|System Enhancements|Utilities,,hammerspoon,other,homebrew_cask_30d:77,182,top300_needs_human_review,0.78,,"homebrew_count=5,566;percent=0.24;cask=hammerspoon"
184,Font Fira Code Nerd Font,development|utilities,Development|Utilities,,font-fira-code-nerd-font,other,homebrew_cask_30d:79,184,top300_needs_human_review,0.78,,"homebrew_count=5,520;percent=0.23;cask=font-fira-code-nerd-font"
185,Utm,development,Development,,utm,other,homebrew_cask_30d:81,185,top300_needs_human_review,0.78,,"homebrew_count=5,477;percent=0.23;cask=utm"
186,Openclaw,other,Other,,openclaw,other,homebrew_cask_30d:82,186,needs_classification,0.30,,"homebrew_count=5,456;percent=0.23;cask=openclaw"
187,Adobe Acrobat Reader,design,Design,,adobe-acrobat-reader,design,homebrew_cask_30d:85,187,top300_needs_human_review,0.78,,"homebrew_count=5,165;percent=0.22;cask=adobe-acrobat-reader"
188,Font Hack Nerd Font,utilities,Utilities,,font-hack-nerd-font,other,homebrew_cask_30d:83,188,top300_needs_human_review,0.78,,"homebrew_count=5,338;percent=0.23;cask=font-hack-nerd-font"
189,Bruno,development,Development,,bruno,other,homebrew_cask_30d:84,189,top300_needs_human_review,0.78,,"homebrew_count=5,218;percent=0.22;cask=bruno"
190,Bitwarden,security|utilities,Security|Utilities,,bitwarden,productivity,homebrew_cask_30d:87,190,top300_needs_human_review,0.78,,"homebrew_count=5,147;percent=0.22;cask=bitwarden"
191,DB Browser For Sqlite,browser,Browsers,,db-browser-for-sqlite,browser,homebrew_cask_30d:90,191,top300_needs_human_review,0.78,,"homebrew_count=4,891;percent=0.21;cask=db-browser-for-sqlite"
192,Nikitabobko/tap/aerospace,utilities|system-enhancement,Utilities|System Enhancements,,nikitabobko-tap-aerospace,other,homebrew_cask_30d:88,192,top300_needs_human_review,0.78,,"homebrew_count=5,139;percent=0.22;cask=nikitabobko/tap/aerospace"
193,Chromium,browser,Browsers,,chromium,browser,homebrew_cask_30d:91,193,top300_needs_human_review,0.78,,"homebrew_count=4,865;percent=0.21;cask=chromium"
194,Inkscape,design,Design,,inkscape,other,homebrew_cask_30d:89,194,top300_needs_human_review,0.78,,"homebrew_count=5,135;percent=0.22;cask=inkscape"
195,Font Jetbrains Mono,development|utilities,Development|Utilities,,font-jetbrains-mono,other,homebrew_cask_30d:92,195,top300_needs_human_review,0.78,,"homebrew_count=4,836;percent=0.20;cask=font-jetbrains-mono"
196,Drawio,design,Design,,drawio,other,homebrew_cask_30d:93,196,top300_needs_human_review,0.78,,"homebrew_count=4,802;percent=0.20;cask=drawio"
197,Github,development,Development,,github,development,homebrew_cask_30d:96,197,top300_needs_human_review,0.78,,"homebrew_count=4,736;percent=0.20;cask=github"
198,Mactex,development,Development,,mactex,other,homebrew_cask_30d:94,198,top300_needs_human_review,0.78,,"homebrew_count=4,751;percent=0.20;cask=mactex"
199,Linearmouse,productivity,Productivity,,linearmouse,productivity,homebrew_cask_30d:97,199,top300_needs_human_review,0.78,,"homebrew_count=4,734;percent=0.20;cask=linearmouse"
200,Miniforge,development,Development,,miniforge,other,homebrew_cask_30d:95,200,top300_needs_human_review,0.78,,"homebrew_count=4,744;percent=0.20;cask=miniforge"
201,Pearcleaner,browser,Browsers,,pearcleaner,browser,homebrew_cask_30d:99,201,top300_needs_human_review,0.78,,"homebrew_count=4,657;percent=0.20;cask=pearcleaner"
202,Dockdoor,utilities|system-enhancement,Utilities|System Enhancements,,dockdoor,other,homebrew_cask_30d:98,202,top300_needs_human_review,0.78,,"homebrew_count=4,680;percent=0.20;cask=dockdoor"
203,Appcleaner,utilities,Utilities,,appcleaner,utilities,homebrew_cask_30d:103,203,top300_needs_human_review,0.78,,"homebrew_count=4,411;percent=0.19;cask=appcleaner"
204,Google Gemini,ai-tools|productivity,AI Tools|Productivity,,google-gemini,other,homebrew_cask_30d:101,204,top300_needs_human_review,0.78,,"homebrew_count=4,447;percent=0.19;cask=google-gemini"
205,Puremac,utilities,Utilities,,puremac,other,homebrew_cask_30d:102,205,top300_needs_human_review,0.78,,"homebrew_count=4,445;percent=0.19;cask=puremac"
206,Wireshark App,utilities,Utilities,,wireshark-app,utilities,homebrew_cask_30d:105,206,top300_needs_human_review,0.78,,"homebrew_count=4,404;percent=0.19;cask=wireshark-app"
207,OBS,video|media,Video|Media,,obs,media,homebrew_cask_30d:106,207,top300_needs_human_review,0.78,,"homebrew_count=4,362;percent=0.18;cask=obs"
208,Rar,utilities,Utilities,,rar,other,homebrew_cask_30d:104,208,top300_needs_human_review,0.78,,"homebrew_count=4,408;percent=0.19;cask=rar"
210,Keka,utilities,Utilities,,keka,utilities,homebrew_cask_30d:108,210,top300_needs_human_review,0.78,,"homebrew_count=4,189;percent=0.18;cask=keka"
211,Tuist,development,Development,,tuist,other,homebrew_cask_30d:109,211,top300_needs_human_review,0.78,,"homebrew_count=4,175;percent=0.18;cask=tuist"
212,Gimp,design|picture-photo,Design|Pictures & Photos,,gimp,other,homebrew_cask_30d:110,212,top300_needs_human_review,0.78,,"homebrew_count=3,999;percent=0.17;cask=gimp"
213,Kitty,development,Development,,kitty,development,homebrew_cask_30d:113,213,top300_needs_human_review,0.78,,"homebrew_count=3,874;percent=0.16;cask=kitty"
214,Pgadmin4,development,Development,,pgadmin4,other,homebrew_cask_30d:111,214,top300_needs_human_review,0.78,,"homebrew_count=3,981;percent=0.17;cask=pgadmin4"
215,Thaw,utilities,Utilities,,thaw,other,homebrew_cask_30d:114,215,top300_needs_human_review,0.78,,"homebrew_count=3,849;percent=0.16;cask=thaw"
216,Qlmarkdown,writing,Writing,,qlmarkdown,writing,homebrew_cask_30d:117,216,top300_needs_human_review,0.78,,"homebrew_count=3,774;percent=0.16;cask=qlmarkdown"
217,Farion1231/ccswitch/cc Switch,ai-tools|development,AI Tools|Development,,farion1231-ccswitch-cc-switch,other,homebrew_cask_30d:115,217,top300_needs_human_review,0.78,,"homebrew_count=3,828;percent=0.16;cask=farion1231/ccswitch/cc-switch"
219,Ublue Os/tap/visual Studio Code Linux,development,Development,,ublue-os-tap-visual-studio-code-linux,development,homebrew_cask_30d:120,219,top300_needs_human_review,0.78,,"homebrew_count=3,472;percent=0.15;cask=ublue-os/tap/visual-studio-code-linux"
221,Antigravity,ai-tools|development,AI Tools|Development,,antigravity,other,homebrew_cask_30d:119,221,top300_needs_human_review,0.78,,"homebrew_count=3,621;percent=0.15;cask=antigravity"
222,Wezterm,development,Development,,wezterm,development,homebrew_cask_30d:123,222,top300_needs_human_review,0.78,,"homebrew_count=3,436;percent=0.15;cask=wezterm"
223,Vscodium,development,Development,,vscodium,other,homebrew_cask_30d:122,223,top300_needs_human_review,0.78,,"homebrew_count=3,453;percent=0.15;cask=vscodium"
224,Calibre,education,Education,,calibre,education,homebrew_cask_30d:125,224,top300_needs_human_review,0.78,,"homebrew_count=3,412;percent=0.14;cask=calibre"
225,Tableplus,development,Development,,tableplus,development,homebrew_cask_30d:126,225,top300_needs_human_review,0.78,,"homebrew_count=3,348;percent=0.14;cask=tableplus"
226,Font Symbols Only Nerd Font,utilities,Utilities,,font-symbols-only-nerd-font,other,homebrew_cask_30d:124,226,top300_needs_human_review,0.78,,"homebrew_count=3,419;percent=0.14;cask=font-symbols-only-nerd-font"
227,Librewolf,browser,Browsers,,librewolf,other,homebrew_cask_30d:127,227,top300_needs_human_review,0.78,,"homebrew_count=3,298;percent=0.14;cask=librewolf"
228,Mos,utilities,Utilities,,mos,other,homebrew_cask_30d:128,228,top300_needs_human_review,0.78,,"homebrew_count=3,257;percent=0.14;cask=mos"
229,Caffeine,utilities|system-enhancement,Utilities|System Enhancements,,caffeine,other,homebrew_cask_30d:129,229,top300_needs_human_review,0.78,,"homebrew_count=3,134;percent=0.13;cask=caffeine"
231,Podman Desktop,development,Development,,podman-desktop,other,homebrew_cask_30d:130,231,top300_needs_human_review,0.78,,"homebrew_count=3,094;percent=0.13;cask=podman-desktop"
232,Mongodb Compass,development,Development,,mongodb-compass,development,homebrew_cask_30d:133,232,top300_needs_human_review,0.78,,"homebrew_count=2,886;percent=0.12;cask=mongodb-compass"
233,Balenaetcher,utilities,Utilities,,balenaetcher,other,homebrew_cask_30d:131,233,top300_needs_human_review,0.78,,"homebrew_count=2,979;percent=0.13;cask=balenaetcher"
234,Monitorcontrol,utilities|system-enhancement,Utilities|System Enhancements,,monitorcontrol,utilities,homebrew_cask_30d:134,234,top300_needs_human_review,0.78,,"homebrew_count=2,881;percent=0.12;cask=monitorcontrol"
235,Intellij Idea,development,Development,,intellij-idea,development,homebrew_cask_30d:135,235,top300_needs_human_review,0.78,,"homebrew_count=2,864;percent=0.12;cask=intellij-idea"
237,Temurin@8,development,Development,,temurin-8,other,homebrew_cask_30d:137,237,top300_needs_human_review,0.78,,"homebrew_count=2,827;percent=0.12;cask=temurin@8"
238,Whisky,game|entertainment,Games|Entertainment,,whisky,other,homebrew_cask_30d:138,238,top300_needs_human_review,0.78,,"homebrew_count=2,799;percent=0.12;cask=whisky"
239,Temurin@25,development,Development,,temurin-25,other,homebrew_cask_30d:139,239,top300_needs_human_review,0.78,,"homebrew_count=2,764;percent=0.12;cask=temurin@25"
240,Audacity,audio|media,Audio|Media,,audacity,media,homebrew_cask_30d:142,240,top300_needs_human_review,0.78,,"homebrew_count=2,688;percent=0.11;cask=audacity"
241,Godot,development|game|entertainment,Development|Games|Entertainment,,godot,other,homebrew_cask_30d:140,241,top300_needs_human_review,0.78,,"homebrew_count=2,753;percent=0.12;cask=godot"
242,Windows App,utilities,Utilities,,windows-app,other,homebrew_cask_30d:141,242,top300_needs_human_review,0.78,,"homebrew_count=2,725;percent=0.12;cask=windows-app"
243,Rustdesk,utilities,Utilities,,rustdesk,other,homebrew_cask_30d:143,243,top300_needs_human_review,0.78,,"homebrew_count=2,630;percent=0.11;cask=rustdesk"
244,Hiddenbar,utilities,Utilities,,hiddenbar,utilities,homebrew_cask_30d:146,244,top300_needs_human_review,0.78,,"homebrew_count=2,569;percent=0.11;cask=hiddenbar"
245,Mounty,file-management|utilities,File Management|Utilities,,mounty,other,homebrew_cask_30d:144,245,top300_needs_human_review,0.78,,"homebrew_count=2,617;percent=0.11;cask=mounty"
246,Gemini,ai-tools|productivity,AI Tools|Productivity,,gemini,other,homebrew_cask_30d:145,246,top300_needs_human_review,0.78,,"homebrew_count=2,603;percent=0.11;cask=gemini"
247,Cyberduck,transfer|utilities,Uploads & Downloads|Utilities,,cyberduck,utilities,homebrew_cask_30d:149,247,top300_needs_human_review,0.78,,"homebrew_count=2,505;percent=0.11;cask=cyberduck"
248,Swiftbar,development|system-enhancement|utilities,Development|System Enhancements|Utilities,,swiftbar,other,homebrew_cask_30d:147,248,top300_needs_human_review,0.78,,"homebrew_count=2,561;percent=0.11;cask=swiftbar"
249,Shottr,utilities,Utilities,,shottr,utilities,homebrew_cask_30d:150,249,top300_needs_human_review,0.78,,"homebrew_count=2,493;percent=0.11;cask=shottr"
250,Mactex No Gui,development,Development,,mactex-no-gui,other,homebrew_cask_30d:148,250,top300_needs_human_review,0.78,,"homebrew_count=2,538;percent=0.11;cask=mactex-no-gui"
251,Ungoogled Chromium,browser,Browsers,,ungoogled-chromium,browser,homebrew_cask_30d:151,251,top300_needs_human_review,0.78,,"homebrew_count=2,482;percent=0.10;cask=ungoogled-chromium"
252,Logi Options+,utilities|system-enhancement,Utilities|System Enhancements,,logi-options,utilities,homebrew_cask_30d:153,252,top300_needs_human_review,0.78,,"homebrew_count=2,429;percent=0.10;cask=logi-options+"
253,Freecad,design,Design,,freecad,other,homebrew_cask_30d:152,253,top300_needs_human_review,0.78,,"homebrew_count=2,459;percent=0.10;cask=freecad"
254,Keepassxc,security|utilities,Security|Utilities,,keepassxc,other,homebrew_cask_30d:154,254,top300_needs_human_review,0.78,,"homebrew_count=2,408;percent=0.10;cask=keepassxc"
255,Bluebubbles,communication,Communication,,bluebubbles,other,homebrew_cask_30d:155,255,top300_needs_human_review,0.78,,"homebrew_count=2,407;percent=0.10;cask=bluebubbles"
256,Markedit,writing,Writing,,markedit,other,homebrew_cask_30d:156,256,top300_needs_human_review,0.78,,"homebrew_count=2,407;percent=0.10;cask=markedit"
257,Kiro CLI,ai-tools|development,AI Tools|Development,,kiro-cli,other,homebrew_cask_30d:157,257,top300_needs_human_review,0.78,,"homebrew_count=2,395;percent=0.10;cask=kiro-cli"
258,Jetbrains Toolbox,development,Development,,jetbrains-toolbox,other,homebrew_cask_30d:158,258,top300_needs_human_review,0.78,,"homebrew_count=2,387;percent=0.10;cask=jetbrains-toolbox"
259,Finetune,ai-tools|productivity,AI Tools|Productivity,,finetune,other,homebrew_cask_30d:159,259,top300_needs_human_review,0.78,,"homebrew_count=2,387;percent=0.10;cask=finetune"
260,Rancher,development,Development,,rancher,other,homebrew_cask_30d:160,260,top300_needs_human_review,0.78,,"homebrew_count=2,366;percent=0.10;cask=rancher"
261,Mark Text,writing,Writing,,mark-text,other,homebrew_cask_30d:161,261,top300_needs_human_review,0.78,,"homebrew_count=2,346;percent=0.10;cask=mark-text"
262,Docker/tap/sbx,development,Development,,docker-tap-sbx,development,homebrew_cask_30d:164,262,top300_needs_human_review,0.78,,"homebrew_count=2,258;percent=0.10;cask=docker/tap/sbx"
263,Font Fira Code,development|utilities,Development|Utilities,,font-fira-code,other,homebrew_cask_30d:162,263,top300_needs_human_review,0.78,,"homebrew_count=2,325;percent=0.10;cask=font-fira-code"
264,The Unarchiver,utilities,Utilities,,the-unarchiver,browser,homebrew_cask_30d:165,264,top300_needs_human_review,0.78,,"homebrew_count=2,252;percent=0.10;cask=the-unarchiver"
265,Transmission,transfer|utilities,Uploads & Downloads|Utilities,,transmission,other,homebrew_cask_30d:166,265,top300_needs_human_review,0.78,,"homebrew_count=2,215;percent=0.09;cask=transmission"
266,Zen,browser,Browsers,,zen,other,homebrew_cask_30d:167,266,top300_needs_human_review,0.78,,"homebrew_count=2,210;percent=0.09;cask=zen"
267,Xykong/tap/flux Markdown,writing,Writing,,xykong-tap-flux-markdown,writing,homebrew_cask_30d:170,267,top300_needs_human_review,0.78,,"homebrew_count=2,094;percent=0.09;cask=xykong/tap/flux-markdown"
268,Darrylmorley/whatcable/whatcable,utilities,Utilities,,darrylmorley-whatcable-whatcable,other,homebrew_cask_30d:168,268,top300_needs_human_review,0.78,,"homebrew_count=2,135;percent=0.09;cask=darrylmorley/whatcable/whatcable"
269,Coteditor,development,Development,,coteditor,other,homebrew_cask_30d:169,269,top300_needs_human_review,0.78,,"homebrew_count=2,125;percent=0.09;cask=coteditor"
270,Multipass,development,Development,,multipass,other,homebrew_cask_30d:171,270,top300_needs_human_review,0.78,,"homebrew_count=2,070;percent=0.09;cask=multipass"
271,Emacs App,development,Development,,emacs-app,development,homebrew_cask_30d:174,271,top300_needs_human_review,0.78,,"homebrew_count=1,987;percent=0.08;cask=emacs-app"
272,Qbittorrent,transfer|utilities,Uploads & Downloads|Utilities,,qbittorrent,other,homebrew_cask_30d:172,272,top300_needs_human_review,0.78,,"homebrew_count=2,043;percent=0.09;cask=qbittorrent"
273,Fuse T,utilities,Utilities,,fuse-t,other,homebrew_cask_30d:173,273,top300_needs_human_review,0.78,,"homebrew_count=2,022;percent=0.09;cask=fuse-t"
274,Macdown,writing,Writing,,macdown,other,homebrew_cask_30d:175,274,top300_needs_human_review,0.78,,"homebrew_count=1,967;percent=0.08;cask=macdown"
275,Alacritty,development,Development,,alacritty,other,homebrew_cask_30d:176,275,top300_needs_human_review,0.78,,"homebrew_count=1,945;percent=0.08;cask=alacritty"
276,Sequel Ace,development,Development,,sequel-ace,development,homebrew_cask_30d:179,276,top300_needs_human_review,0.78,,"homebrew_count=1,940;percent=0.08;cask=sequel-ace"
277,Corretto@21,development,Development,,corretto-21,other,homebrew_cask_30d:177,277,top300_needs_human_review,0.78,,"homebrew_count=1,942;percent=0.08;cask=corretto@21"
278,Font Source Code Pro,development|utilities,Development|Utilities,,font-source-code-pro,other,homebrew_cask_30d:178,278,top300_needs_human_review,0.78,,"homebrew_count=1,941;percent=0.08;cask=font-source-code-pro"
279,Protonvpn,utilities,Utilities,,protonvpn,utilities,homebrew_cask_30d:181,279,top300_needs_human_review,0.78,,"homebrew_count=1,921;percent=0.08;cask=protonvpn"
280,Openscad,design,Design,,openscad,other,homebrew_cask_30d:180,280,top300_needs_human_review,0.78,,"homebrew_count=1,937;percent=0.08;cask=openscad"
281,Anaconda,development,Development,,anaconda,other,homebrew_cask_30d:182,281,top300_needs_human_review,0.78,,"homebrew_count=1,917;percent=0.08;cask=anaconda"
282,Meld,development,Development,,meld,other,homebrew_cask_30d:183,282,top300_needs_human_review,0.78,,"homebrew_count=1,910;percent=0.08;cask=meld"
284,Openmtp,file-management|transfer|utilities,File Management|Uploads & Downloads|Utilities,,openmtp,other,homebrew_cask_30d:184,284,top300_needs_human_review,0.78,,"homebrew_count=1,907;percent=0.08;cask=openmtp"
285,Dotnet Sdk@8,development,Development,,dotnet-sdk-8,other,homebrew_cask_30d:185,285,top300_needs_human_review,0.78,,"homebrew_count=1,904;percent=0.08;cask=dotnet-sdk@8"
286,Tor Browser,browser,Browsers,,tor-browser,browser,homebrew_cask_30d:188,286,top300_needs_human_review,0.78,,"homebrew_count=1,837;percent=0.08;cask=tor-browser"
287,Cloudflare Warp,development,Development,,cloudflare-warp,other,homebrew_cask_30d:187,287,top300_needs_human_review,0.78,,"homebrew_count=1,851;percent=0.08;cask=cloudflare-warp"
288,Temurin@11,development,Development,,temurin-11,other,homebrew_cask_30d:189,288,top300_needs_human_review,0.78,,"homebrew_count=1,811;percent=0.08;cask=temurin@11"
289,Helium Browser,browser,Browsers,,helium-browser,browser,homebrew_cask_30d:192,289,top300_needs_human_review,0.78,,"homebrew_count=1,802;percent=0.08;cask=helium-browser"
290,Zulu@8,development,Development,,zulu-8,other,homebrew_cask_30d:190,290,top300_needs_human_review,0.78,,"homebrew_count=1,809;percent=0.08;cask=zulu@8"
291,Font Sauce Code Pro Nerd Font,utilities,Utilities,,font-sauce-code-pro-nerd-font,other,homebrew_cask_30d:191,291,top300_needs_human_review,0.78,,"homebrew_count=1,807;percent=0.08;cask=font-sauce-code-pro-nerd-font"
292,Microsoft Office,productivity,Productivity,,microsoft-office,productivity,homebrew_cask_30d:194,292,top300_needs_human_review,0.78,,"homebrew_count=1,784;percent=0.08;cask=microsoft-office"
293,Font Blex Mono Nerd Font,utilities,Utilities,,font-blex-mono-nerd-font,other,homebrew_cask_30d:193,293,top300_needs_human_review,0.78,,"homebrew_count=1,793;percent=0.08;cask=font-blex-mono-nerd-font"
294,Virtualbox,development,Development,,virtualbox,other,homebrew_cask_30d:195,294,top300_needs_human_review,0.78,,"homebrew_count=1,778;percent=0.08;cask=virtualbox"
295,Ublue Os/tap/jetbrains Toolbox Linux,development,Development,,ublue-os-tap-jetbrains-toolbox-linux,other,homebrew_cask_30d:196,295,top300_needs_human_review,0.78,,"homebrew_count=1,767;percent=0.07;cask=ublue-os/tap/jetbrains-toolbox-linux"
296,Font Maple Mono Nf Cn,utilities,Utilities,,font-maple-mono-nf-cn,other,homebrew_cask_30d:197,296,top300_needs_human_review,0.78,,"homebrew_count=1,765;percent=0.07;cask=font-maple-mono-nf-cn"
297,Theboredteam/boring Notch/boring Notch,utilities|system-enhancement,Utilities|System Enhancements,,theboredteam-boring-notch-boring-notch,other,homebrew_cask_30d:198,297,top300_needs_human_review,0.78,,"homebrew_count=1,759;percent=0.07;cask=theboredteam/boring-notch/boring-notch"
298,Zotero,education,Education,,zotero,writing,homebrew_cask_30d:201,298,top300_needs_human_review,0.78,,"homebrew_count=1,741;percent=0.07;cask=zotero"
299,Raspberry Pi Imager,utilities,Utilities,,raspberry-pi-imager,other,homebrew_cask_30d:199,299,top300_needs_human_review,0.78,,"homebrew_count=1,750;percent=0.07;cask=raspberry-pi-imager"
